idx,name,company_code,industry,size,year,established_date,ceo,debt_ratio,assets,sales_growth,current_ratio,quick_ratio,inventory_turnover,receivables_turnover,asset_turnover,fixed_asset_turnover,operating_cf,operating_cf_to_assets,operating_cf_to_debt,industry_avg_roe,industry_avg_roa,industry_avg_debt_ratio,roa,roic,division,employee_growth_rate,roe,operating_cf_to_sales,profit_growth,optl,ffoeq,oeneg,cfoint,accounts_payable_turnover,interest_coverage_ratio,noncurrent_asset_turnover,industry_avg_pd,pd,score,grade
25361,(주)포바이포,389140,정보통신업,중소기업,2023,2017-08-30,윤준호,58.66456347,67013711.0,108.4153262,149.68125,147.1874085,,708.5601647,50.68453498,318.7992318,-10210780.0,-15.23685205,-41.20969008,12.83769706,-8.323399647,199.244902,-30.69816265,-33.96072993,상장,-41.03,-40.97541674,-30.25290892,54.85939226,-65.61707967,-24.1754848,0,-951.2194895,0.0,-9.063572194,124.9826291,5.98,18.29,234,C
25362,대명에너지(주),389260,건설업,중소기업,2022,2000-08-04,서종현,199.5602238,320645552.0,,263.0906794,260.2061065,,,,59.46956356,11573632.0,3.609478419,5.41819478,31.05313389,1.843619583,2319.373942,8.367532883,8.194774021,상장,,,13.15272173,,11.97834717,10.81256163,0,217.3781454,,5.051825695,,3.16,0.41,725,A
25362,대명에너지(주),389260,건설업,중소기업,2023,2000-08-04,서종현,184.3960429,343991447.0,-29.94938939,415.7832329,411.0087075,,778.8893911,18.54861318,43.71173599,2565366.0,0.745764472,1.150200739,13.13381324,-0.797313512,2845.118111,1.785580733,5.517037224,상장,-2.04,5.388079878,4.161820757,-34.56989124,7.506092325,2.120924649,0,26.14108138,6.68379552,1.827405131,30.21841005,5.32,0.51,698,B
25363,(주)인벤티지랩,389470,"전문, 과학 및 기술 서비스업",중소기업,2022,2015-05-14,김주희,14.54616516,34861903.0,,968.8448035,936.2442317,,,,,-5189237.0,-14.88512259,-117.2153445,30.80375837,0.666259054,3418.884533,-30.39228524,,상장,,,-139.3576467,,-246.2517763,-17.0503376,0,-5020.88667,,-101.5653537,,4.53,4.75,418,B
25363,(주)인벤티지랩,389470,"전문, 과학 및 기술 서비스업",중소기업,2023,2015-05-14,김주희,924.3972569,45182343.0,-82.3252409,90.78220431,90.20679226,84.03161028,630.9274793,1.644470484,,-11711346.0,-25.92018302,-28.72419274,-5.114285043,-0.507906626,1625.959472,-59.74494948,,상장,16.95,-154.9366241,-1779.428764,46.40699407,-39.14724951,-265.5256498,0,-1326.18709,,-17.61340937,4.610218634,5.71,7.44,360,C
2477,(주)파인디지털,038950,제조업,중소기업,2021,1992-10-20,김용훈,14.67932831,108953300.0,-3.996955052,846.9404588,756.3432766,885.0447188,958.8122312,91.91094601,992.4656292,4269222.0,3.91839623,30.61169,-82.76486438,2.859484577,296.1260635,2.041046026,1.9013333,상장,-0.66,2.364115833,4.25500153,-28.05878163,17.68380292,4.493590478,0,13119.9201,15.66331939,105.1081746,416.2659181,4.5,0.13,864,A
2477,(주)파인디지털,038950,제조업,중소기업,2022,1992-10-20,김용훈,13.66459281,105109983.0,-9.202682084,1000.785695,864.4205406,743.9836277,1002.863123,85.11573468,885.336808,-5040196.0,-4.795163938,-39.88705438,6.700285441,3.030629599,292.8512353,-2.009854763,-3.892341954,상장,-1.32,-2.253626753,-5.532550505,-250.1426457,-29.30391883,-5.450403565,0,-8021.957664,17.003425030000002,-37.73374184,381.9409927,4.39,3.81,447,B
2477,(주)파인디지털,038950,제조업,중소기업,2023,1992-10-20,김용훈,9.663437737,106950850.0,-3.703570315,1414.747376,1298.229563,775.4523363,878.1559491,82.73737848,865.3606801,1971881.0,1.843726347,20.92313076,13.13683595,2.817590129,148.4047922,1.84295964,-0.672955599,상장,-0.67,2.074798268,2.247752445,-82.1718586,-7.004759026,2.021893714,0,3137.589702,23.99574468,7.433099432000001,355.3409574,3.7,4.38,429,B
25364,(주)에스비비테크,389500,제조업,중견기업,2022,2000-11-18,류재완 / 송진웅,39.35372113,30753092.0,,239.7140685,204.3852378,,,,,-2162917.0,-7.033169218,-24.90484441,6.700285441,3.030629599,292.8512353,-17.12472034,,상장,,,-28.95533238,,-21.1486859,-9.800983018,0,-425.5440503,,-3.368636023,,4.39,9.52,326,C
25364,(주)에스비비테크,389500,제조업,중견기업,2023,2000-11-18,류재완 / 송진웅,369.6987761,54532663.0,-31.26657331,97.16763075,91.82795002,220.2204102,547.1945271,12.04017482,,-3154372.0,-5.784371836,-7.348989494,13.13683595,2.817590129,148.4047922,-20.19578615,,상장,31.51,-65.4025507,-61.43751107,203.3812724,-12.98203855,-27.16912422,0,-1080.327279,18.84278177,-17.561597759999998,38.19189507,3.7,9.61,325,C
